Car Make,Car Model,Country,Year,New_Segment,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD)
Acura,NSX,Japan,2022,Mainstream,3.5,573,476,2.7,157500
Aston Martin,Vantage,UK,2021,Mainstream,4,503,57375,3.5,150000
Bentley,Continental GT,UK,2021,Upper Mainstream,6,626,664,3.6,218400
Dodge,Challenger SRT Hellcat Redeye,US,2021,Lower Mainstream,6.2,797,77377,3.5,73000
Jaguar,F-Type R,UK,2022,Lower Mainstream,5,575,516,3.5,103200
Lexus,LC 500,Japan,2021,Lower Mainstream,5,471,398,4.4,92950
Lotus,Evora GT,UK,2021,Lower Mainstream,3.5,416,317,3.8,104970
Maserati,GranTurismo,Italian,2021,Mainstream,4.7,454,384,4.8,132400
Porsche,Cayman GT4,German,2021,Lower Mainstream,4,414,37379,4.2,101200
Tesla,Roadster,US,2023,Upper Mainstream,Electric,1000+,737,1.9,200000
Alpine,A110,France,2021,Lower Mainstream,1.8,288,236,4.4,71500
Audi,RS7,German,2021,Lower Mainstream,4,591,59737,3.5,114000
BMW,M4,German,2021,Lower Mainstream,3,473,47376,4.1,71800
Chevrolet,Camaro ZL1,US,2021,Lower,6.2,650,65737,3.5,64195
Dodge,Viper,US,2017,Lower Mainstream,8.4,645,6737737,3.3,118795
Ferrari,Portofino,Italian,2021,Upper Mainstream,3.9,591,56737,3.5,218750
Jaguar,F-Type,UK,2022,Lower,3,296,295,5.4,61600
Lamborghini,Aventador SVJ,Italian,2021,Luxury,6.5,770,531,2.8,517700
McLaren,600LT,UK,2021,Upper Mainstream,3.8,592,457,2.8,240000
Aston Martin,DB11,UK,2021,Upper Mainstream,5.2,630,516,3.5,221400
Bentley,Continental GT,UK,2021,Upper Mainstream,6,626,664,3.6,202500
Bugatti,Chiron,France,2022,Exotic,8,1500,118737,2.4,3000000
Dodge,Challenger SRT Hellcat,US,2021,Lower,6.2,717,656,3.5,64100
Jaguar,F-Type R,UK,2022,Lower Mainstream,5,575,516,3.5,103200
Koenigsegg,Jesko,Sweden,2022,Exotic,5,1280,173715,2.5,2800000
Lexus,LC 500,Japan,2021,Lower Mainstream,5,471,398,4.4,92950
Lotus,Evora GT,UK,2021,Lower Mainstream,3.5,416,317,3.8,100450
Maserati,GranTurismo,Italian,2021,Mainstream,4.7,454,384,4.8,150980
McLaren,Artura,UK,2022,Upper Mainstream,3,671,531,3.0,225000
Mercedes-AMG,C 63 S,German,2022,Lower Mainstream,4,503,516,3.7,81550
Pagani,Huayra,Italian,2021,Exotic,6,764,738,2.8,3500000
Porsche,Cayman GT4,German,2021,Lower Mainstream,4,414,37379,4.2,102550
Rimac,C_Two,Croatia,2022,Exotic,Electric,1888,1696,1.8,2400000
Rolls-Royce,Wraith,UK,2021,Premium,6.6,624,642,4.4,330000
Tesla,Roadster,US,2022,Upper Mainstream,Electric,1000,737,1.9,200000
Toyota,Supra,Japan,2022,Lower,3,382,368,3.9,43090
Acura,NSX,Japan,2021,Mainstream,3.5,573,476,2.7,157500
Aston Martin,Vantage,UK,2021,Mainstream,4,503,57375,3.5,146000
Bentley,Continental GT,UK,2022,Upper Mainstream,4,542,568,3.9,207825
Dodge,Challenger SRT Hellcat,US,2021,Lower,6.2,717,656,3.5,64195
Jaguar,F-Type,UK,2022,Lower,3,380,339,4.8,62250
Lexus,LC 500,Japan,2022,Lower Mainstream,5,471,398,4.4,92000
Lotus,Evora GT,UK,2021,Lower Mainstream,3.5,416,317,3.8,105000
Maserati,GranTurismo,Italian,2022,Mainstream,4.7,454,384,4.7,134300
McLaren,570S,UK,2022,Upper Mainstream,3.8,562,443,2.9,204550
Porsche,Cayman GT4,German,2021,Lower Mainstream,4,414,37379,4.2,102000
Tesla,Model S Plaid,US,2021,Mainstream,Electric (tri-motor),1020,17375737,1.9,141190
Audi,RS 5,German,2021,Lower Mainstream,2.9,444,443,3.5,75100
BMW,M2 Competition,German,2022,Lower,3,405,47376,4.0,59895
Chevrolet,Camaro ZL1,US,2021,Lower,6.2,650,65737,3.5,64995
Dodge,Viper ACR,US,2017,Mainstream,8.4,645,6737737,3.3,126190
Ford,GT,US,2021,Luxury,3.5,660,55737,2.9,500000
Porsche,Taycan 4S,German,2022,Lower Mainstream,2.5,482,472,3.8,102900
Lamborghini,Aventador S,Italian,2021,Luxury,6.5,730,57379,2.9,417650
Aston Martin,DB11,UK,2021,Upper Mainstream,5.2,630,516,3.5,205000
Alfa Romeo,Giulia Quadrifoglio,Italian,2022,Lower Mainstream,2.9,505,443,3.8,81250
Audi,RS7 Sportback,German,2022,Lower Mainstream,4,591,59737,3.5,115045
BMW,M4 Competition,German,2021,Lower Mainstream,3,503,479,3.9,75695
Chevrolet,Camaro SS,US,2022,Lower,6.2,455,455,4.1,42000
Dodge,Charger Hellcat,US,2021,Lower Mainstream,6.2,717,65737,3.6,71490
Ferrari,F8 Tributo,Italian,2021,Premium,3.9,710,568,2.9,274280
Ford,GT,US,2021,Luxury,3.5,660,55737,2.8,500000
Jaguar,F-Type R,UK,2021,Lower Mainstream,5,575,516,3.5,103200
Koenigsegg,Jesko Absolut,Sweden,2022,Exotic,5,1600,117376,2.1,2800000
Lexus,LC 500,Japan,2021,Lower Mainstream,5,471,398,4.4,93050
Lotus,Evija,UK,2022,Exotic,Electric,1973,1254,2.5,2750000
McLaren,GT,UK,2022,Upper Mainstream,4,612,465,3.2,210000
Mercedes-Benz,AMG GT Black Series,German,2021,Premium,4,720,59737,3.2,326050
Porsche,Cayman GT4,German,2021,Lower Mainstream,4,414,37379,4.2,102500
Lamborghini,Aventador,Italian,2021,Luxury,6.5,770,531,2.8,417650
Ferrari,Portofino,Italian,2021,Upper Mainstream,3.9,591,56737,3.3,218750
Audi,TT RS,German,2022,Lower,2.5,394,354,3.6,69000
McLaren,600LT Spider,UK,2021,Premium,3.8,592,457,2.8,256500
BMW,M4,German,2022,Lower Mainstream,3,473,47376,4.1,72800
Mercedes-Benz,AMG C 63,German,2022,Lower Mainstream,4,503,516,3.8,70000
Chevrolet,Camaro SS 1LE,US,2021,Lower,6.2,455,455,4.0,44500
Ford,Mustang Mach 1,US,2021,Lower,5,480,42737,4.0,51000
Nissan,370Z Nismo,Japan,2021,Lower,3.7,350,276,5.2,45000
Aston Martin,Vantage,UK,2021,Mainstream,4,503,57375,3.5,146000
Bugatti,Chiron,France,2022,Exotic,8,1500,118737,2.4,3000000
Koenigsegg,Jesko,Sweden,2021,Exotic,5,1262,117376,2.5,3000000
Pagani,Huayra,Italian,2021,Exotic,6,764,738,2.6,2600000
McLaren,Speedtail,UK,2021,Exotic,4,1035,848,2.5,2300000
Lamborghini,Sián,Italian,2021,Exotic,6.5,819,531,2.8,3600000
Rimac,C_Two,Croatia,2021,Exotic,Electric,1914,1732,1.8,2400000
Porsche,Cayman,German,2022,Lower,2,300,28737,4.9,59900
Lamborghini,Aventador,Italian,2021,Premium,6.5,770,531,2.8,393695
Ferrari,Portofino,Italian,2021,Upper Mainstream,3.9,591,413,3.5,215000
Audi,RS 5,German,2022,Lower Mainstream,2.9,444,443,3.7,75100
McLaren,GT,UK,2021,Upper Mainstream,4,620,465,3.1,210000
BMW,Z4 M40i,German,2022,Lower,3,382,369,4.3,63700
Mercedes-Benz,SLC 43,German,2020,Lower,3,385,384,4.6,62000
Chevrolet,Camaro SS,US,2022,Lower,6.2,455,455,4.3,42500
Ford,Mustang GT,US,2022,Lower,5,460,42737,4.3,36120
Nissan,370Z Nismo,Japan,2020,Lower,3.7,350,276,4.6,45790
Aston Martin,Vantage,UK,2022,Mainstream,4,503,57375,3.6,146000
Bentley,Continental GT,UK,2021,Upper Mainstream,4,626,664,3.3,220000
Porsche,718 Boxster,German,2022,Lower,2,300,28737,4.9,62000
Lamborghini,Urus,Italian,2021,Upper Mainstream,4,641,627,3.6,222004
Ferrari,F8 Spider,Italian,2021,Premium,3.9,710,568,2.9,280000
Audi,TT RS,German,2022,Lower,2.5,394,354,3.6,69900
McLaren,570S,UK,2021,Upper Mainstream,3.8,562,443,2.9,208800
BMW,M4,German,2022,Lower Mainstream,3,473,47376,4.0,72800
Porsche,718 Cayman,German,2022,Lower,2,300,28737,4.9,60500
Lamborghini,Aventador,Italian,2021,Premium,6.5,730,57379,2.9,393695
Ferrari,SF90 Stradale,Italian,2022,Luxury,4,986,59737,2.5,625000
Audi,RS5,German,2022,Lower Mainstream,2.9,444,443,3.7,75100
McLaren,GT,UK,2021,Upper Mainstream,4,612,465,3.2,208800
BMW,M2,German,2022,Lower,3,405,47376,4.0,58900
Mercedes-Benz,SLS AMG,German,2015,Upper Mainstream,6.2,622,468,3.6,229000
Chevrolet,Camaro ZL1,US,2021,Lower,6.2,650,65737,3.5,62000
Ford,GT,US,2022,Luxury,3.5,660,55737,3.0,500000
Nissan,370Z Nismo,Japan,2020,Lower,3.7,350,276,5.2,46200
Dodge,Challenger SRT Hellcat,US,2021,Lower Mainstream,6.2,717,656,3.6,71000
Aston Martin,DBS Superleggera,UK,2021,Premium,5.2,715,663,3.2,308000
Alfa Romeo,Giulia Quadrifoglio,Italian,2022,Lower Mainstream,2.9,505,443,3.8,80500
Jaguar,F-Type R,UK,2021,Lower Mainstream,5,575,516,3.5,105900
Lotus,Evora GT,UK,2020,Lower Mainstream,3.5,416,317,3.8,96950
Maserati,GranTurismo,Italian,2019,Mainstream,4.7,454,384,4.7,150980
Porsche,Panamera Turbo S,German,2022,Upper Mainstream,4,630,67374,2.9,180800
Lamborghini,Urus,Italian,2021,Upper Mainstream,4,641,627,3.2,218000
Aston Martin,Vantage,UK,2021,Mainstream,4,503,57375,3.5,146000
Lotus,Evora,UK,2021,Lower Mainstream,3.5,416,317,3.8,94000
Alfa Romeo,4C Spider,Italian,2020,Lower,1.7,237,258,4.1,67150
Jaguar,F-Type,UK,2022,Lower Mainstream,3,380,339,4.9,70900
Maserati,GranTurismo,Italian,2021,Mainstream,4.7,454,384,4.7,134300
Porsche,Cayman GT4,German,2021,Lower Mainstream,4,414,37379,4.2,100200
Audi,RS5 Coupe,German,2022,Lower Mainstream,2.9,444,443,3.7,76450
BMW,M2 Competition,German,2021,Lower,3,405,47376,4.0,58900
Chevrolet,Camaro ZL1,US,2022,Lower,6.2,650,65737,3.5,64000
Dodge,Challenger SRT Hellcat,US,2022,Lower,6.2,717,656,3.5,61500
Ford,GT,US,2021,Luxury,3.5,647,55737,2.8,500000
Lexus,LC 500,Japan,2022,Lower Mainstream,5,471,398,4.4,92950
McLaren,570S,UK,2022,Upper Mainstream,3.8,562,443,3.1,198950
Mercedes-AMG,C63 S Coupe,German,2021,Lower Mainstream,4,503,516,3.7,77950
Nissan,370Z Nismo,Japan,2021,Lower,3.7,350,276,4.9,45790
Porsche,718 Boxster,German,2021,Lower,2,300,28737,4.9,62000
Lamborghini,Aventador S,Italian,2021,Luxury,6.5,729,57377,2.9,417826
Ferrari,F8 Tributo,Italian,2021,Premium,3.9,710,568,2.9,274280
Audi,TT RS Coupe,German,2021,Lower,2.5,394,354,3.6,67600
BMW,M4 Coupe,German,2021,Lower Mainstream,3,473,47376,3.8,71800
Acura,NSX,Japan,2021,Mainstream,3.5,573,476,2.7,159495
Aston Martin,DBS Superleggera,UK,2022,Premium,5.2,715,664,3.4,314500
Bentley,Continental GT,UK,2022,Upper Mainstream,6,626,664,3.3,214425
Bugatti,Chiron,France,2022,Exotic,8,1500,118737,2.3,3000000
Dodge,Challenger SRT Hellcat,US,2022,Lower Mainstream,6.2,717,656,3.5,71490
Jaguar,F-Type,UK,2021,Lower Mainstream,5,575,516,3.5,105900
Koenigsegg,Jesko,Sweden,2021,Exotic,5,1280,117376,2.5,2800000
Lexus,LC 500,Japan,2021,Lower Mainstream,5,471,398,4.4,92950
Lotus,Evora GT,UK,2021,Lower Mainstream,3.5,416,317,3.8,104400
Maserati,GranTurismo,Italian,2022,Mainstream,4.7,454,384,4.7,150980
McLaren,Artura,UK,2022,Upper Mainstream,3,671,531,3.0,225000
Pagani,Huayra,Italian,2021,Exotic,6,764,738,2.6,2600000
Porsche,Cayman GT4,German,2022,Lower Mainstream,4,414,37379,4.2,102000
Rimac,C_Two,Croatia,2021,Exotic,Electric,1914,1696,1.9,2400000
Rolls-Royce,Wraith,UK,2021,Premium,6.8,624,67375,4.4,335550
Tesla,Model S Plaid,US,2021,Mainstream,Electric,1020,17375737,1.9,141990
Toyota,GR Supra,Japan,2022,Lower,3,382,368,3.9,43090
TVR,Griffith,UK,2021,Mainstream,5,500,42737,3.9,157500
Ultima,RS,UK,2021,Upper Mainstream,6.2,1200,13737737,2.3,220000
W Motors,Fenyr SuperSport,United Arab Emirates,2022,Exotic,3.8,800,723,2.7,1550000
Acura,NSX,Japan,2021,Mainstream,3.5,573,476,2.9,157500
Aston Martin,DBS Superleggera,UK,2022,Premium,5.2,715,663,3.2,308000
Bentley,Continental GT,UK,2021,Upper Mainstream,6,626,664,3.6,202500
Bugatti,Chiron,France,2021,Exotic,8,1500,118737,2.3,3000000
Dodge,Challenger SRT Hellcat,US,2021,Lower,6.2,717,656,3.5,65000
Jaguar,F-Type,UK,2021,Lower,3,380,339,4.9,63100
Lexus,LC 500,Japan,2021,Lower Mainstream,5,471,398,4.4,92950
Lotus,Evija,UK,2022,Exotic,Electric,1973,1254,2.5,2600000
Maserati,GranTurismo,Italian,2021,Mainstream,4.7,454,384,4.8,134300
Porsche,Taycan,German,2021,Upper Mainstream,Electric,616,774,2.6,185000
Rimac,C_Two,Croatia,2022,Exotic,Electric,1914,1696,1.9,2400000
Tesla,Model S Plaid,US,2022,Mainstream,Electric,1020,17375737,1.98,140000
McLaren,Artura,UK,2022,Upper Mainstream,3,671,531,3.0,225000
Mercedes-Benz,AMG GT Black Series,German,2021,Premium,4,720,59737,3.1,325000
Chevrolet,Camaro ZL1,US,2021,Lower,6.2,650,65737,3.5,63000
Ford,GT,US,2021,Luxury,3.5,647,55737,3.0,500000
Aston Martin,DBS Superleggera,UK,2021,Premium,5.2,715,664,3.4,307820
Jaguar,F-Type,UK,2022,Lower Mainstream,5,575,516,3.5,103200
Dodge,Challenger SRT Hellcat Redeye,US,2021,Lower Mainstream,6.2,797,77377,3.5,80190
Lotus,Evora GT,UK,2022,Lower Mainstream,3.5,416,317,3.8,105000
Alfa Romeo,4C Spider,Italian,2020,Lower,1.8,237,258,4.1,68745
Subaru,WRX STI,Japan,2022,Lower,2.5,310,29737,5.2,38170
Acura,NSX,Japan,2022,Mainstream,3.5,573,476,2.7,157500
Koenigsegg,Jesko,Sweden,2021,Exotic,5,1280,173715,2.5,2800000
Tesla,Model S Plaid,US,2022,Mainstream,Electric,1020,17375737,1.98,139990
Bugatti,Chiron Super Sport 300+,France,2022,Exotic,8,1578,118737,2.3,5200000
McLaren,Senna,UK,2020,Exotic,4,789,59737,2.7,1500000
Porsche,Taycan Turbo S,German,2022,Upper Mainstream,Electric,750,774,2.6,185000
Mercedes-Benz,SLS AMG Black Series,German,2014,Premium,6.2,622,468,3.5,275000
Lexus,LC 500,Japan,2022,Lower Mainstream,5,471,398,4.4,93050
Chevrolet,Camaro ZL1,US,2022,Lower,6.2,650,65737,3.5,65000
Audi,RS 7 Sportback,German,2022,Lower Mainstream,4,591,59737,3.5,114000
Ford,GT,US,2022,Luxury,3.5,660,55737,3.0,500000
BMW,M2 CS,German,2022,Lower Mainstream,3,444,47376,3.8,84595
Porsche,Cayman GT4,German,2022,Lower Mainstream,4,414,37379,4.2,102550
Lamborghini,Aventador,Italian,2022,Premium,6.5,770,531,2.8,393695
Aston Martin,Vantage,UK,2021,Mainstream,4,503,57375,3.6,146000
Lotus,Evora GT,UK,2021,Lower Mainstream,3.5,416,317,3.8,96950
Porsche,Panamera Turbo S,German,2021,Upper Mainstream,4,620,67374,2.9,180000
Lamborghini,Aventador S,Italian,2022,Luxury,6.5,729,57377,2.9,460247
Ferrari,SF90 Stradale,Italian,2021,Luxury,4,986,59737,2.5,625000
Audi,RS 6 Avant,German,2022,Lower Mainstream,4,591,59737,3.1,110045
McLaren,570S,UK,2021,Upper Mainstream,3.8,562,443,3.1,192500
BMW,M5,German,2022,Lower Mainstream,4.4,600,553,3.2,103500
Mercedes-Benz,AMG C 63 S,German,2021,Lower Mainstream,4,503,516,3.7,77400
Chevrolet,Camaro ZL1,US,2021,Lower,6.2,650,65737,3.5,64695
Dodge,Challenger SRT Hellcat,US,2021,Lower,6.2,717,656,3.5,64195
Ford,GT,US,2021,Luxury,3.5,660,55737,3.0,500000
Nissan,370Z Nismo,Japan,2020,Lower,3.7,350,276,5.0,46815
Porsche,Cayman GT4,German,2021,Lower Mainstream,4,414,37379,4.2,102550
Audi,TT RS,German,2021,Lower,2.5,394,354,3.6,67895
Chevrolet,Corvette Z06,US,2023,Lower Mainstream,5.5,625,65737,2.6,85000
Lamborghini,Urus,Italian,2022,Upper Mainstream,4,641,626,3.2,218009
Mercedes-Benz,AMG GT 63 S,German,2021,Mainstream,4,630,664,3.1,162900
Ferrari,Portofino M,Italian,2022,Upper Mainstream,3.9,612,56737,3.5,245000
Bugatti,Chiron,France,2021,Exotic,8,1479,118737,2.5,3000000
Aston Martin,DBS Superleggera,UK,2021,Premium,5.2,715,664,3.4,304995
Lotus,Evora GT,UK,2021,Lower Mainstream,3.5,416,317,3.8,100450
Porsche,Cayman GT4,German,2022,Lower Mainstream,4,414,37379,4.2,100200
Acura,NSX,Japan,2021,Mainstream,3.5,573,476,2.7,157500
Lexus,LC,Japan,2021,Lower Mainstream,5,471,398,4.4,92950
Alfa Romeo,Giulia Quadrifoglio,Italian,2021,Lower Mainstream,2.9,505,443,3.8,74750
Audi,RS7,German,2021,Lower Mainstream,4,591,59737,3.5,114000
Bentley,Continental GT,UK,2021,Upper Mainstream,6,626,664,3.3,218400
BMW,M5,German,2021,Lower Mainstream,4.4,600,553,3.2,103500
Chevrolet,Camaro ZL1,US,2021,Lower,6.2,650,65737,3.5,64695
Dodge,Challenger Hellcat,US,2021,Lower Mainstream,6.2,717,656,3.5,70595
Ford,GT,US,2022,Luxury,3.5,647,55737,3.0,500000
Jaguar,F-Type R,UK,2021,Lower Mainstream,5,575,516,3.5,103200
Lamborghini,Aventador,Italian,2021,Premium,6.5,730,57379,2.9,393695
McLaren,570S,UK,2021,Upper Mainstream,3.8,562,443,3.1,203500
Mercedes-Benz,SLS AMG,German,2015,Upper Mainstream,6.2,583,479,3.6,221580
Nissan,370Z Nismo,Japan,2020,Lower,3.7,350,276,4.7,47190
Porsche,Boxster,German,2021,Lower,2,300,28737,4.9,62000
Porsche,718 Cayman,German,2022,Lower,2,300,28737,4.9,61500
Lamborghini,Aventador,Italian,2021,Premium,6.5,759,531,2.9,393695
Ferrari,Roma,Italian,2021,Upper Mainstream,3.9,612,561,3.3,222630
Audi,RS 5,German,2022,Lower Mainstream,2.9,444,442,3.5,75400
McLaren,570S,UK,2020,Upper Mainstream,3.8,562,443,3.1,208000
BMW,M2,German,2022,Lower,3,405,47376,4.2,58900
Mercedes-Benz,SL,German,2022,Lower Mainstream,3,429,384,4.9,96250
Chevrolet,Camaro,US,2021,Lower,6.2,455,455,4.0,25000
Ford,GT,US,2022,Luxury,3.5,660,55737,3.0,500000
Nissan,370Z Nismo,Japan,2021,Lower,3.7,350,276,5.0,45000
Aston Martin,DBS Superleggera,UK,2021,Premium,5.2,715,664,3.4,307820
Lotus,Evora GT,UK,2021,Lower Mainstream,3.5,416,317,3.8,100450
Maserati,GranTurismo,Italian,2021,Mainstream,4.7,454,384,4.7,134300
Porsche,Panamera,German,2022,Lower Mainstream,2.9,325,331,5.2,88550
Lamborghini,Urus,Italian,2021,Upper Mainstream,4,641,627,3.6,218009
Ferrari,SF90 Stradale,Italian,2021,Luxury,4,986,59737,2.5,625000
Audi,RS 6,German,2022,Lower Mainstream,4,591,59737,3.5,109000
McLaren,Artura,UK,2022,Upper Mainstream,3,671,531,3.0,225000
Porsche,Taycan 4S,German,2021,Lower Mainstream,Electric (93 kWh),429,472,3.8,103800
Lamborghini,Aventador S,Italian,2021,Luxury,6.5,730,57379,2.9,417650
Ferrari,SF90 Stradale,Italian,2021,Luxury,4,986,59737,2.5,625000
Audi,RS 7,German,2022,Lower Mainstream,4,591,59737,3.5,117000
McLaren,570S,UK,2021,Upper Mainstream,3.8,562,443,3.1,192500
BMW,M4,German,2021,Lower Mainstream,3,473,47376,4.0,72800
Mercedes-Benz,SLS AMG,German,2015,Upper Mainstream,6.2,622,468,3.5,228000
Chevrolet,Camaro SS,US,2021,Lower,6.2,455,455,4.0,42000
Ford,GT,US,2021,Luxury,3.5,660,55737,3.0,500000
Nissan,370Z Nismo,Japan,2021,Lower,3.7,350,276,5.0,48000
Aston Martin,DBS Superleggera,UK,2021,Premium,5.2,715,664,3.2,307820
Lexus,LC 500,Japan,2021,Lower Mainstream,5,471,398,4.4,93000
Bentley,Continental GT,UK,2021,Upper Mainstream,4,626,664,3.3,202500
Maserati,GranTurismo,Italian,2021,Mainstream,4.7,454,384,4.7,150980
Tesla,Model S Plaid,US,2022,Mainstream,Electric (100 kWh),1020,17375737,1.98,131190
Rolls-Royce,Dawn,UK,2021,Premium,6.6,563,67375,4.3,346300
Bugatti,Chiron Pur Sport,France,2021,Exotic,8,1500,118737,2.3,3599000
McLaren,Senna,UK,2019,Exotic,4,789,59737,2.7,1050000
Porsche,Panamera Turbo S E-Hybrid,German,2021,Upper Mainstream,Hybrid (4.0),690,641,3.0,186350
Acura,NSX,Japan,2021,Mainstream,3.5,573,476,2.7,157500
Aston Martin,DB11,UK,2021,Upper Mainstream,4,503,498,3.7,205600
Audi,RS7,German,2021,Lower Mainstream,4,591,59737,3.5,114000
Bentley,Continental GT,UK,2021,Upper Mainstream,6,626,664,3.6,201000
Bugatti,Chiron,France,2021,Exotic,8,1500,118737,2.5,3000000
Chevrolet,Camaro ZL1,US,2022,Lower,6.2,650,65737,3.5,67000
Dodge,Challenger Hellcat,US,2021,Lower,6.2,717,656,3.5,64000
Ferrari,812 Superfast,Italian,2021,Premium,6.5,789,53737,2.8,340000
Lamborghini,Aventador SVJ,Italian,2021,Luxury,6.5,770,531,2.8,517770
McLaren,600LT Spider,UK,2021,Premium,3.8,592,457,2.8,256500
Mercedes-AMG,GT Black Series,German,2021,Premium,4,720,59737,3.1,325000
Nissan,400Z,Japan,2023,Lower,3,400,35737,4.0,40000
Porsche,Cayman GT4,German,2021,Lower Mainstream,4,414,37379,4.2,101000
Rimac,Nevera,Croatia,2021,Exotic,Electric,1914,1696,1.9,2400000
Rolls-Royce,Wraith,UK,2021,Premium,6.8,624,67375,4.4,330000
Tesla,Model S Plaid,US,2021,Mainstream,Electric,1020,17375737,1.9,139990
Toyota,Supra,Japan,2021,Lower,3,382,368,3.9,43000
Porsche,718 Boxster,German,2021,Lower,2,300,28737,4.9,62000
Porsche,718 Boxster,German,2022,Lower,2,300,28737,4.9,62000
Lamborghini,Aventador S,Italian,2021,Luxury,6.5,730,57379,2.9,417826
Ferrari,SF90 Stradale,Italian,2022,Luxury,4,986,59737,2.5,625000
Audi,RS 7,German,2022,Lower Mainstream,4,591,59737,3.5,114000
McLaren,Artura,UK,2021,Upper Mainstream,3,671,531,3.0,225000
BMW,M2,German,2022,Lower,3,405,47376,4.1,58900
Mercedes-Benz,SLS AMG,German,2015,Upper Mainstream,6.2,583,479,3.6,221580
Chevrolet,Camaro ZL1,US,2021,Lower,6.2,650,65737,3.5,64695
Ford,GT,US,2022,Luxury,3.5,647,55737,3.0,500000
Nissan,370Z Nismo,Japan,2021,Lower,3.7,350,276,4.8,45000
Dodge,Charger Hellcat,US,2021,Lower,6.2,707,65737,3.6,69995
Aston Martin,DBS Superleggera,UK,2021,Premium,5.2,715,663,3.2,305000
Alfa Romeo,Giulia Quadrifoglio,Italian,2021,Lower Mainstream,2.9,505,443,3.8,75000
Audi,TT RS,German,2021,Lower,2.5,394,354,3.6,68000
Bentley,Continental GT,UK,2021,Upper Mainstream,6,626,664,3.6,203825
BMW,M5,German,2022,Lower Mainstream,4.4,600,553,3.2,103500
Chevrolet,Corvette Stingray,US,2021,Lower,6.2,495,47737,2.9,58900
Dodge,Challenger SRT Hellcat,US,2021,Lower,6.2,717,656,3.5,63000
Ford,Mustang GT,US,2022,Lower,5,460,42737,4.0,45000
Porsche,Cayman,German,2022,Lower,2,300,28737,4.9,59900
Lamborghini,Aventador,Italian,2021,Luxury,6.5,770,531,2.8,417826
Ferrari,Roma,Italian,2022,Upper Mainstream,3.9,612,56737,3.3,222630
Audi,RS7,German,2022,Lower Mainstream,4,591,59737,3.5,114000
McLaren,570S,UK,2021,Upper Mainstream,3.8,562,443,2.7,204995
BMW,M4,German,2022,Lower Mainstream,3,473,47376,4.1,71800
Mercedes-Benz,SLS AMG,German,2021,Upper Mainstream,6.2,622,468,3.5,243600
Chevrolet,Camaro SS,US,2021,Lower,6.2,455,455,4.0,42000
Ford,GT,US,2022,Luxury,3.5,660,55737,2.8,500000
Nissan,370Z Nismo,Japan,2021,Lower,3.7,350,276,5.0,47190
Porsche,Panamera,German,2022,Lower Mainstream,2.9,325,331,5.4,88550
Lamborghini,Urus,Italian,2021,Upper Mainstream,4,641,627,3.2,218000
Ferrari,SF90 Stradale,Italian,2021,Luxury,4,986,59737,2.5,625000
Audi,RS6,German,2022,Lower Mainstream,4,591,59737,3.5,113000
McLaren,Artura,UK,2021,Upper Mainstream,3,671,531,3.0,225000
BMW,M2,German,2022,Lower,3,405,47376,4.0,58900
Mercedes-Benz,GT 63,German,2021,Mainstream,4,577,59737,3.3,161200
Chevrolet,Camaro ZL1,US,2021,Lower,6.2,650,65737,3.5,63000
Aston Martin,DBS Superleggera,UK,2021,Premium,5.2,715,663,3.2,310000
Bugatti,Chiron,France,2022,Exotic,8,1500,118737,2.4,3000000
Koenigsegg,Jesko,Sweden,2021,Exotic,5,1280,117376,2.5,2800000
Pagani,Huayra,Italian,2021,Exotic,6,764,737,3.0,2600000
Rimac,C_Two,Croatia,2022,Exotic,Electric,1914,1696,1.85,2400000
McLaren,Senna,UK,2021,Exotic,4,789,59737,2.7,1000000
Porsche,918 Spyder,German,2015,Exotic,4.6,887,944,2.2,1800000
Ferrari,SF90 Stradale,Italian,2021,Luxury,4,986,59737,2.5,625000
Lamborghini,Aventador SVJ,Italian,2020,Luxury,6.5,759,531,2.8,517000
Audi,RS 6 Avant,German,2021,Lower Mainstream,4,591,59737,3.5,110000
Bentley,Continental GT Speed,UK,2022,Premium,6,650,664,3.5,300000
Chevrolet,Camaro ZL1,US,2021,Lower,6.2,650,65737,3.5,68000
Dodge,Challenger SRT Hellcat,US,2021,Lower,6.2,717,656,3.5,65000
Ford,GT,US,2021,Luxury,3.5,660,55737,2.9,500000
Lexus,LC 500,Japan,2022,Lower Mainstream,5,471,398,4.4,92000
Lotus,Evija,UK,2022,Exotic,Electric,1972,1254,2.5,2700000
Mercedes-AMG,GT Black Series,German,2021,Premium,4,720,59737,3.1,330000
Aston Martin,DB11,UK,2021,Upper Mainstream,4,503,513,3.9,205000
Bentley,Continental GT,UK,2022,Upper Mainstream,4,542,568,3.9,229000
Jaguar,F-Type,UK,2022,Lower,2,296,295,5.4,62750
Lotus,Evora GT,UK,2021,Lower Mainstream,3.5,416,317,3.8,100000
Maserati,GranTurismo,Italian,2021,Mainstream,4.7,454,384,4.7,135000
Porsche,Boxster,German,2022,Lower,2,300,28737,4.9,63000
Alfa Romeo,4C,Italian,2020,Lower,1.8,237,258,4.2,67150
Chevrolet,Camaro,US,2022,Lower,6.2,455,455,4.0,62195
Dodge,Challenger,US,2022,Lower,3.6,305,268,6.4,28000
Ford,GT,US,2022,Luxury,3.5,660,55737,2.9,500000
Audi,RS7,German,2022,Lower Mainstream,4,591,59737,3.5,115045
